amount,installment_rate,present_residence,age,number_of_credits,people_liable,credit_history,purpose,personal_status,property,job,housing,telephone,foreign_worker,checking_account_status,savings_account_status,employment_years,duration,full_repaid
1221,1,2,27,2,1,critical_account,furniture_equipment,M_divorced,life_insurance  ,official,own,0,1,0,0,3,6,True
11998,1,1,34,1,1,existing_credit_paid,repairs,M_divorced,no_property,unskilled,own,1,1,-1,1,1,30,False
2331,1,4,49,1,1,critical_account,radio_TV,M_single,real_estate ,official,own,1,1,0,0,7,12,True
2404,2,2,26,2,1,critical_account,radio_TV,F_not_single,other,official,own,0,1,0,1,3,18,True
1882,4,4,25,2,1,existing_credit_paid,radio_TV,F_not_single,other,official,rent,0,1,-1,1,3,18,False
2910,2,1,34,1,1,existing_credit_paid,car_used,M_single,no_property,management,free,1,1,-1,1,5,24,True
9629,4,4,24,2,1,critical_account,car_used,M_single,other,official,own,1,1,-1,1,5,36,False
1393,2,2,31,1,1,existing_credit_paid,car_new,M_single,real_estate ,official,own,1,1,0,1,3,24,True
2136,3,2,25,1,1,existing_credit_paid,furniture_equipment,M_single,real_estate ,official,own,0,1,-1,1,3,9,True
6416,4,3,59,1,1,all_credit_paid,business,F_not_single,no_property,official,rent,0,1,2,1,7,48,False
7174,4,3,30,1,1,existing_credit_paid,radio_TV,F_not_single,other,management,own,1,1,-1,0,5,42,False
1501,2,3,34,2,1,critical_account,education,F_not_single,other,management,own,1,1,2,1,7,9,False
717,4,4,52,3,1,critical_account,radio_TV,M_single,real_estate ,official,own,0,1,0,1,7,12,True
2748,2,4,57,3,1,critical_account,education,F_not_single,no_property,unskilled,free,0,1,0,1,7,12,True
1056,3,3,30,2,1,critical_account,car_new,M_single,real_estate ,official,own,0,1,2,1,7,18,False
1282,4,2,32,1,1,existing_credit_paid,radio_TV,F_not_single,other,unskilled,own,0,1,-1,3,3,24,False
802,4,2,27,2,1,delay_in_paying,car_new,M_single,other,unskilled,own,0,1,0,1,3,14,True
1984,4,4,47,2,1,existing_credit_paid,furniture_equipment,M_single,no_property,official,free,0,1,0,1,3,18,True
